,adult,budget,id,imdb_id,original_language,overview,popularity,release_date,revenue,runtime,title,tmdb_id,vote_average,vote_count,belongs_to_collection,genres,production_companies,production_countries,spoken_languages
2308,False,0,ill+met+by+moonlight+1957,tt0049357,en,"Led by British officers, partisans on Crete plan to kidnap the island's German commander and smuggle him to Cairo to embarrass the occupiers.",0.515906,1957-03-04,0,104,Ill Met by Moonlight,54797,6.3,8,,War,The Rank Organisation,United Kingdom,Deutsch
2309,False,6250000,parineeta+2005,tt0437407,en,"They fall in love before they know its meaning, Lolita, orphaned at an early age &amp; Shekhar, who reaches out &amp; gives her the security she craves.They share joys &amp; sorrows through childhood &amp; adolescence,unknown to them the relationship of an unspoken right they hold over eachother metamorphs into an intense love, they don't even sense coming. It Takes and outsider for them to realize their love.",1.361436,2005-06-10,0,131,Parineeta,20651,6.6,11,,Drama,,India,हिन्दी
2310,False,0,romero+1989,tt0098219,en,"Romero is a compelling and deeply moving look at the life of Archbishop Oscar Romero of El Salvador, who made the ultimate sacrifice in a passionate stand against social injustice and oppression in his county. This fil chronicles the transformation of Romero from an apolitical, complacent priest to a committed leader of the Salvadoran people.",2.188691,1989-08-25,0,105,Romero,32767,6.7,3,,Drama,Paulist Pictures,United States of America,English
2311,False,2,iran+is+not+the+problem+2008,tt1378702,en,"A response to the failure of the American mass media to provide the public with relevant and accurate information about the standoff between the US and Iran, as happened before with the lead up to the invasion of Iraq. We have heard that Iran is a nuclear menace in defiance of the international community, bent on ""wiping Israel off the map"", supporting terrorism, and unwilling to negotiate. This documentary disputes these claims as they are presented to us and puts them in the context of present and historical US imperialism and hypocrisy with respect to Iran. It looks at the struggle for democracy inside Iran, the consequences of the current escalation and the potential US and/or Israeli attack, and suggests some alternatives to consider.",0.075397,2008-07-28,0,79,Iran Is Not the Problem,83566,4.8,2,,Documentary,,,
2312,False,0,boy+1969,tt0063876,ja,"A family of four lives off of scams in which they pretend to be injured by automobiles. After suffering an injury during the war, the father believes he is an invalid. He and his wife have a 10-year-old boy and a 3-year-old girl. The adults pretend to be injured by autos in crowded traffic, blackmailing the fearful motorists with threats to call in the police.",0.292384,1969-07-26,0,105,Boy,104193,7.0,8,,Crime,Art Theatre Guild,Japan,日本語
2313,False,0,between+sheets+2008,tt1288641,pt,"Two strangers meet in a nightclub and end up spending the night together in a hotel. Roberto has just came out of a failed relationship and Paula wants to enjoy her last moments of freedom before getting married the next day. After making a pact of sincerity, they spend a night filled with interesting conversations and passion.",0.44424,2008-12-05,0,88,Between Sheets,45109,5.6,10,,Romance,Centauro Films,Brazil,Português
2314,False,0,halloweentown+high+2004,tt0414078,en,"Marnie Piper prepares to begin a new school year, she asks the Halloweentown Hot Witches' Council to work toward openness between Halloweentown and the mortal world. She proposes to bring a group of Halloweentown students to her own high school in the mortal world.",4.019593,2004-10-08,0,82,Halloweentown High,34560,5.9,67,Halloweentown Collection,Adventure,Reel FX Creative Studios,United States of America,English
2315,False,0,dear+frankie+2004,tt0377752,en,"Nine-year-old Frankie and his single mum Lizzie have been on the move ever since Frankie can remember, most recently arriving in a seaside Scottish town. Wanting to protect her deaf son from the truth that they've run away from his father, Lizzie has invented a story that he is away at sea on the HMS Accra. Every few weeks, Lizzie writes Frankie a make-believe letter from his father, telling of his adventures in exotic lands. As Frankie tracks the ship's progress around the globe, he discovers that it is due to dock in his hometown. With the real HMS Accra arriving in only a fortnight, Lizzie must choose between telling Frankie the truth or finding the perfect stranger to play Frankie's father for just one day...",3.571208,2004-05-18,0,105,Dear Frankie,8981,7.1,48,,Drama,Scottish Screen,United Kingdom,English
2316,False,0,liebelei+1933,tt0024252,de,"Vienna in the beginning of the twentieth century. Cavalry Lieutenant Fritz Lobheimer is about to end his affair with Baroness Eggerdorff when he meets the young Christine, the daughter of an opera violinist. Baron Eggerdorff however soon hears of his past misfortune...",0.472479,1933-03-10,0,88,Liebelei,43596,6.3,8,,Drama,Elite-Tonfilm-Produktion GmbH,Germany,Deutsch
2317,False,0,klown+2010,tt1680136,da,"Frank is left with the responsibility for his nephew Bo on an already planned canoe trip. Frank's mate Casper is also coming along. Weighed down a with their obligation, Frank and Casper nevertheless look forward to ending the trip at Skanderborg Festival where there's plenty there for the guys, a spree of drinking and women. Not the best example to set for young Bo. And how do their partners see it all?",2.521782,2010-12-16,0,93,Klown,48748,6.6,45,,Comedy,Zentropa Productions,Denmark,Dansk
